fly_id,bout_idx,start_frame,end_frame,source_fly
Session1/2026_04_02_12_11_50,1,125664,126200,both
Session1/2026_04_02_12_11_50,2,180957,181248,both
Session1/2026_04_02_12_11_50,3,193315,193926,both
Session1/2026_04_02_12_11_50,4,219664,220324,both
Session1/2026_04_02_12_11_50,5,350497,351106,both
Session1/2026_04_02_12_11_50,6,377765,378005,both
Session1/2026_04_02_12_11_50,7,395327,395764,both
Session1/2026_04_02_12_11_50,8,460439,460839,both
Session1/2026_04_02_12_11_50,9,500938,501976,both
Session1/2026_04_02_12_11_50,10,526005,526298,both
Session1/2026_04_02_12_11_50,11,557904,558326,both
